City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Keti Bandar,24.14,67.45,87.82,61,0,10.89,PK,1603113615
1,Kieta,-6.22,155.63,79.9,76,76,2.35,PG,1603113615
2,Saint Paul Harbor,57.79,-152.41,40.19,72,0,5.79,US,1603113616
3,Jamestown,42.1,-79.24,50.0,93,100,3.0,US,1603113616
4,Shenjiamen,29.96,122.3,66.04,71,25,15.41,CN,1603113616
5,Rikitea,-23.12,-134.97,73.67,80,0,17.07,PF,1603113616
6,San Patricio,28.02,-97.52,78.01,97,0,5.53,US,1603113616
7,Saint-Philippe,-21.36,55.77,77.0,70,32,5.01,RE,1603113617
8,Hasaki,35.73,140.83,55.0,98,100,12.33,JP,1603113617
9,Mahébourg,-20.41,57.7,78.01,62,0,10.0,MU,1603113617
10,Srednekolymsk,67.45,153.68,19.17,97,95,4.52,RU,1603113617
11,Yanaul,56.27,54.93,46.87,69,100,10.25,RU,1603113618
12,Sítio Novo do Tocantins,-5.52,-47.46,91.6,43,28,6.53,BR,1603113618
13,Esperance,-33.87,121.9,60.33,84,0,15.12,AU,1603113618
14,Caravelas,-17.71,-39.25,78.58,62,100,6.6,BR,1603113618
15,Atuona,-9.8,-139.03,78.06,73,8,20.33,PF,1603113618
16,Mataura,-46.19,168.86,48.0,88,44,11.99,NZ,1603113619
17,Bereda,43.27,-7.54,73.99,39,100,15.99,ES,1603113619
18,Busselton,-33.65,115.33,64.0,53,1,15.84,AU,1603113619
19,Cherskiy,68.75,161.3,20.35,96,76,6.06,RU,1603113619
20,Vaini,-21.2,-175.2,71.01,79,34,19.13,TO,1603113620
21,Bethel,41.37,-73.41,53.01,97,93,3.69,US,1603113489
22,Egvekinot,66.32,-179.17,24.49,89,100,2.06,RU,1603113620
23,Mahajanga,-15.72,46.32,86.5,48,1,12.19,MG,1603113620
24,Ancud,-41.87,-73.82,54.0,68,96,1.01,CL,1603113618
25,Vila Franca do Campo,37.72,-25.43,63.63,68,100,18.95,PT,1603113620
26,Bathsheba,13.22,-59.52,83.35,70,80,5.64,BB,1603113621
